最速下降法:
第1次迭代：f(x_i)=7.711096854858360e-01, x_1=1.612591019188414e-01,x_2=0.000000000000000e+00
第28次迭代：f(x_i)=3.520863212070267e-01, x_1=4.066313794083369e-01,x_2=1.653454673850539e-01
第29次迭代：f(x_i)=3.469476949641043e-01, x_1=4.152073740224052e-01,x_2=1.653506894545978e-01
第30次迭代：f(x_i)=3.419865878322220e-01, x_1=4.152038070807877e-01,x_2=1.723917943052360e-01
第31次迭代：f(x_i)=3.371901881665691e-01, x_1=4.233305827042879e-01,x_2=1.723951405521684e-01
第32次迭代：f(x_i)=3.325500976759951e-01, x_1=4.233284326938255e-01,x_2=1.792035905244953e-01
第33次迭代：f(x_i)=3.280548118698361e-01, x_1=4.310599458377229e-01,x_2=1.792081128475913e-01
第34次迭代：f(x_i)=3.236979309417574e-01, x_1=4.310554237773344e-01,x_2=1.858076444863433e-01
第35次迭代：f(x_i)=3.194719162132129e-01, x_1=4.384211493893043e-01,x_2=1.858091126953180e-01
第36次迭代：f(x_i)=3.153702465580508e-01, x_1=4.384216471637226e-01,x_2=1.922121851784173e-01
第37次迭代：f(x_i)=3.113843537364442e-01, x_1=4.454675078649550e-01,x_2=1.922138862501209e-01
第38次迭代：f(x_i)=3.075094953231968e-01, x_1=4.454646135241913e-01,x_2=1.984365555174784e-01
第39次迭代：f(x_i)=3.037398120364577e-01, x_1=4.522144786704441e-01,x_2=1.984391933827616e-01
第40次迭代：f(x_i)=3.000709990206757e-01, x_1=4.522126341805441e-01,x_2=2.044933181954519e-01
第41次迭代：f(x_i)=2.964971721648459e-01, x_1=4.586960975339383e-01,x_2=2.044968094433881e-01
第42次迭代：f(x_i)=2.930147143087100e-01, x_1=4.586916675006840e-01,x_2=2.103921504805197e-01
第43次迭代：f(x_i)=2.896187636041052e-01, x_1=4.649286637904303e-01,x_2=2.103989499462958e-01
第44次迭代：f(x_i)=2.863066764311636e-01, x_1=4.649236747380697e-01,x_2=2.161489485387776e-01
第45次迭代：f(x_i)=2.830739706787185e-01, x_1=4.709312707194390e-01,x_2=2.161546513172046e-01
第46次迭代：f(x_i)=2.799180513529427e-01, x_1=4.709271806407648e-01,x_2=2.217667807782241e-01
第47次迭代：f(x_i)=2.768348770240610e-01, x_1=4.767252070689652e-01,x_2=2.217729553566049e-01
第48次迭代：f(x_i)=2.738222337594631e-01, x_1=4.767197384595349e-01,x_2=2.272576573638651e-01
第49次迭代：f(x_i)=2.708769014688106e-01, x_1=4.823211092024643e-01,x_2=2.272619976172871e-01
第50次迭代：f(x_i)=2.679965378258534e-01, x_1=4.823161814661864e-01,x_2=2.326245929745254e-01
第51次迭代：f(x_i)=2.651783269885402e-01, x_1=4.877351148003786e-01,x_2=2.326291038905157e-01
第52次迭代：f(x_i)=2.624202751838782e-01, x_1=4.877302727386644e-01,x_2=2.378766771165074e-01
第53次迭代：f(x_i)=2.597198364557862e-01, x_1=4.929778253085623e-01,x_2=2.378809232432248e-01
第54次迭代：f(x_i)=2.570752500407865e-01, x_1=4.929741155333342e-01,x_2=2.430184570504222e-01
第55次迭代：f(x_i)=2.544841890848552e-01, x_1=4.980626962594385e-01,x_2=2.430235016576136e-01
第56次迭代：f(x_i)=2.519451029908371e-01, x_1=4.980586677978680e-01,x_2=2.480579443686906e-01
第57次迭代：f(x_i)=2.494559142767737e-01, x_1=5.030001752436168e-01,x_2=2.480623707916574e-01
第58次迭代：f(x_i)=2.470152643942682e-01, x_1=5.029936998673477e-01,x_2=2.529981646401975e-01
第59次迭代：f(x_i)=2.446211638907643e-01, x_1=5.077939396718160e-01,x_2=2.530025123892014e-01
第60次迭代：f(x_i)=2.422724534110433e-01, x_1=5.077882052065285e-01,x_2=2.578438841662184e-01
第61次迭代：f(x_i)=2.399673333867414e-01, x_1=5.124545299338208e-01,x_2=2.578486075427540e-01
第62次迭代：f(x_i)=2.377046519031875e-01, x_1=5.124503609971457e-01,x_2=2.626016156603240e-01
第63次迭代：f(x_i)=2.354828611476428e-01, x_1=5.169899020759052e-01,x_2=2.626051163795676e-01
第64次迭代：f(x_i)=2.333008245957473e-01, x_1=5.169877595602101e-01,x_2=2.672749978682342e-01
第65次迭代：f(x_i)=2.311571792396442e-01, x_1=5.214088019920781e-01,x_2=2.672762299207606e-01
第66次迭代：f(x_i)=2.290510354642183e-01, x_1=5.214072345752282e-01,x_2=2.718636407019626e-01
第67次迭代：f(x_i)=2.269811211701262e-01, x_1=5.257165032847775e-01,x_2=2.718653193454669e-01
第68次迭代：f(x_i)=2.249465227741123e-01, x_1=5.257147245294134e-01,x_2=2.763744034604855e-01
第69次迭代：f(x_i)=2.229460436875581e-01, x_1=5.299171065376445e-01,x_2=2.763757933747001e-01
第70次迭代：f(x_i)=2.209788317128089e-01, x_1=5.299161439567928e-01,x_2=2.808111794670234e-01
第71次迭代：f(x_i)=2.190437585628278e-01, x_1=5.340175639770515e-01,x_2=2.808111272572510e-01
第72次迭代：f(x_i)=2.171402710295461e-01, x_1=5.340168768881172e-01,x_2=2.851738140423768e-01
第73次迭代：f(x_i)=2.152672392942278e-01, x_1=5.380200935593655e-01,x_2=2.851739951121421e-01
第74次迭代：f(x_i)=2.134237357931836e-01, x_1=5.380219314804052e-01,x_2=2.894676284563013e-01
第75次迭代：f(x_i)=2.116094022949373e-01, x_1=5.419333730326311e-01,x_2=2.894676033082720e-01
第76次迭代：f(x_i)=2.098229987986644e-01, x_1=5.419355972207385e-01,x_2=2.936983208725946e-01
第77次迭代：f(x_i)=2.080637896507979e-01, x_1=5.457583805027940e-01,x_2=2.936948780916492e-01
第78次迭代：f(x_i)=2.063312452425005e-01, x_1=5.457630092732959e-01,x_2=2.978611327543658e-01
第79次迭代：f(x_i)=2.046249393896879e-01, x_1=5.495039089856130e-01,x_2=2.978579481697827e-01
第80次迭代：f(x_i)=2.029442314156014e-01, x_1=5.495066811490953e-01,x_2=3.019608885318084e-01
第81次迭代：f(x_i)=2.012882698079009e-01, x_1=5.531668043180854e-01,x_2=3.019582128597602e-01
第82次迭代：f(x_i)=1.996563750165049e-01, x_1=5.531707561304559e-01,x_2=3.060021743495948e-01
第83次迭代：f(x_i)=1.980480950362734e-01, x_1=5.567547064846164e-01,x_2=3.059987379271077e-01
第84次迭代：f(x_i)=1.964628798322989e-01, x_1=5.567586682954689e-01,x_2=3.099843391527373e-01
第85次迭代：f(x_i)=1.949002089305260e-01, x_1=5.602690971432965e-01,x_2=3.099810760243293e-01
第86次迭代：f(x_i)=1.933594187193663e-01, x_1=5.602734742051367e-01,x_2=3.139098755214997e-01
第87次迭代：f(x_i)=1.918403337709277e-01, x_1=5.637137003428944e-01,x_2=3.139071322004806e-01
第88次迭代：f(x_i)=1.903420424923626e-01, x_1=5.637179338431647e-01,x_2=3.177814335433463e-01
第89次迭代：f(x_i)=1.888644737972710e-01, x_1=5.670914987397842e-01,x_2=3.177787106099824e-01
第90次迭代：f(x_i)=1.874069559922114e-01, x_1=5.670947517408903e-01,x_2=3.216009540395980e-01
第91次迭代：f(x_i)=1.859688927003423e-01, x_1=5.704017125741940e-01,x_2=3.215975231407117e-01
第92次迭代：f(x_i)=1.845496158954371e-01, x_1=5.704076233689875e-01,x_2=3.253724961400033e-01
第93次迭代：f(x_i)=1.831489371191744e-01, x_1=5.736530246431114e-01,x_2=3.253667366017637e-01
第94次迭代：f(x_i)=1.817668251348415e-01, x_1=5.736587993075095e-01,x_2=3.290919856692679e-01
第95次迭代：f(x_i)=1.804025060369280e-01, x_1=5.768427452694745e-01,x_2=3.290863455840629e-01
第96次迭代：f(x_i)=1.790555295847291e-01, x_1=5.768504736007445e-01,x_2=3.327653530449529e-01
第97次迭代：f(x_i)=1.777257933206626e-01, x_1=5.799755035757026e-01,x_2=3.327588078046258e-01
第98次迭代：f(x_i)=1.764124752352903e-01, x_1=5.799851613452787e-01,x_2=3.363930563333067e-01
第99次迭代：f(x_i)=1.751158821375715e-01, x_1=5.830559864310307e-01,x_2=3.363855696980875e-01
第100次迭代：f(x_i)=1.738356801364219e-01, x_1=5.830639454007537e-01,x_2=3.399716338972448e-01
第101次迭代：f(x_i)=1.725715934146797e-01, x_1=5.860823140777518e-01,x_2=3.399658052359465e-01
第102次迭代：f(x_i)=1.713234227500276e-01, x_1=5.860876692454251e-01,x_2=3.435059666885240e-01
第103次迭代：f(x_i)=1.700903047914955e-01, x_1=5.890537973090407e-01,x_2=3.435008100126181e-01
第104次迭代：f(x_i)=1.688722928515763e-01, x_1=5.890592644731253e-01,x_2=3.469976990726373e-01
第105次迭代：f(x_i)=1.676688444126160e-01, x_1=5.919747413406908e-01,x_2=3.469928261473297e-01
第106次迭代：f(x_i)=1.664797291243917e-01, x_1=5.919807316132274e-01,x_2=3.504487691566806e-01
第107次迭代：f(x_i)=1.653046129418613e-01, x_1=5.948485066055118e-01,x_2=3.504434514364888e-01
第108次迭代：f(x_i)=1.641436663218609e-01, x_1=5.948535279997559e-01,x_2=3.538557671654830e-01
第109次迭代：f(x_i)=1.629964822154527e-01, x_1=5.976738820082406e-01,x_2=3.538522587149559e-01
第110次迭代：f(x_i)=1.618624908482106e-01, x_1=5.976786258221430e-01,x_2=3.572249626483108e-01
第111次迭代：f(x_i)=1.607416649953357e-01, x_1=6.004543613970265e-01,x_2=3.572213648076686e-01
第112次迭代：f(x_i)=1.596338790248913e-01, x_1=6.004579143537648e-01,x_2=3.605525745708393e-01
第113次迭代：f(x_i)=1.585389820530140e-01, x_1=6.031914091797551e-01,x_2=3.605506143304955e-01
第114次迭代：f(x_i)=1.574570760125143e-01, x_1=6.031913861912689e-01,x_2=3.638402923081997e-01
第115次迭代：f(x_i)=1.563872030641395e-01, x_1=6.058817242376802e-01,x_2=3.638399913650655e-01
第116次迭代：f(x_i)=1.553294412937752e-01, x_1=6.058814375330025e-01,x_2=3.670919596604800e-01
第117次迭代：f(x_i)=1.542833877056313e-01, x_1=6.085298623098238e-01,x_2=3.670921993754463e-01
第118次迭代：f(x_i)=1.532487451804070e-01, x_1=6.085300201322223e-01,x_2=3.703081317297824e-01
第119次迭代：f(x_i)=1.522255869392734e-01, x_1=6.111381818704944e-01,x_2=3.703085673263334e-01
第120次迭代：f(x_i)=1.512133751160944e-01, x_1=6.111383599908184e-01,x_2=3.734894207819291e-01
第121次迭代：f(x_i)=1.502122748410787e-01, x_1=6.137085325359821e-01,x_2=3.734898665339131e-01
第122次迭代：f(x_i)=1.492221462748868e-01, x_1=6.137071755505743e-01,x_2=3.766357640288717e-01
第123次迭代：f(x_i)=1.482423669209585e-01, x_1=6.162384778387178e-01,x_2=3.766362446538566e-01
第124次迭代：f(x_i)=1.472727876546679e-01, x_1=6.162386319415148e-01,x_2=3.797494147257474e-01
第125次迭代：f(x_i)=1.463135944333293e-01, x_1=6.187330220573509e-01,x_2=3.797498287020659e-01
第126次迭代：f(x_i)=1.453642197460399e-01, x_1=6.187334008183960e-01,x_2=3.828319935746060e-01
第127次迭代：f(x_i)=1.444246130281857e-01, x_1=6.211927348238683e-01,x_2=3.828313666058564e-01
第128次迭代：f(x_i)=1.434949587726167e-01, x_1=6.211927155454549e-01,x_2=3.858807996028416e-01
第129次迭代：f(x_i)=1.425747690310693e-01, x_1=6.236177117720033e-01,x_2=3.858805373260768e-01
第130次迭代：f(x_i)=1.416643593398088e-01, x_1=6.236167389193086e-01,x_2=3.888967504469192e-01
第131次迭代：f(x_i)=1.407631740773371e-01, x_1=6.260071431711522e-01,x_2=3.888974408020046e-01
第132次迭代：f(x_i)=1.398710063737834e-01, x_1=6.260066760309737e-01,x_2=3.918842965977897e-01
第133次迭代：f(x_i)=1.389876903857333e-01, x_1=6.283628592520750e-01,x_2=3.918843355566762e-01
第134次迭代：f(x_i)=1.381126319619506e-01, x_1=6.283649215046621e-01,x_2=3.948444588018840e-01
第135次迭代：f(x_i)=1.372464087395144e-01, x_1=6.306902375084296e-01,x_2=3.948432181077178e-01
第136次迭代：f(x_i)=1.363888948451835e-01, x_1=6.306913284998868e-01,x_2=3.977715447555445e-01
第137次迭代：f(x_i)=1.355401179749710e-01, x_1=6.329863960042919e-01,x_2=3.977715491612652e-01
第138次迭代：f(x_i)=1.347000666864571e-01, x_1=6.329849243294506e-01,x_2=4.006668862308891e-01
第139次迭代：f(x_i)=1.338684381621056e-01, x_1=6.352492980341246e-01,x_2=4.006687564920929e-01
第140次迭代：f(x_i)=1.330449145113657e-01, x_1=6.352467772696931e-01,x_2=4.035352755076766e-01
第141次迭代：f(x_i)=1.322293096011767e-01, x_1=6.374810235434796e-01,x_2=4.035372332217495e-01
第142次迭代：f(x_i)=1.314213483221928e-01, x_1=6.374791761489922e-01,x_2=4.063772575261559e-01
第143次迭代：f(x_i)=1.306210985720274e-01, x_1=6.396851454880099e-01,x_2=4.063787450839706e-01
第144次迭代：f(x_i)=1.298286304462747e-01, x_1=6.396825988980445e-01,x_2=4.091908116950434e-01
第145次迭代：f(x_i)=1.290435759505076e-01, x_1=6.418608919433408e-01,x_2=4.091926367482645e-01
第146次迭代：f(x_i)=1.282662969489569e-01, x_1=6.418571599085717e-01,x_2=4.119750999226875e-01
第147次迭代：f(x_i)=1.274964235657927e-01, x_1=6.440066161954369e-01,x_2=4.119784156802762e-01
第148次迭代：f(x_i)=1.267333126877114e-01, x_1=6.440037752115551e-01,x_2=4.147383643146615e-01
第149次迭代：f(x_i)=1.259769941298237e-01, x_1=6.461270237319122e-01,x_2=4.147398556334882e-01
第150次迭代：f(x_i)=1.252277803969754e-01, x_1=6.461246271705003e-01,x_2=4.174740309076622e-01
第151次迭代：f(x_i)=1.244853989256643e-01, x_1=6.482212402972759e-01,x_2=4.174758120124090e-01
第152次迭代：f(x_i)=1.237497062069672e-01, x_1=6.482192361502767e-01,x_2=4.201861975285333e-01
第153次迭代：f(x_i)=1.230205434722629e-01, x_1=6.502894851994475e-01,x_2=4.201873639660583e-01
第154次迭代：f(x_i)=1.222975962664564e-01, x_1=6.502892677404655e-01,x_2=4.228758324632138e-01
第155次迭代：f(x_i)=1.215811452402676e-01, x_1=6.523351624858613e-01,x_2=4.228760075661468e-01
第156次迭代：f(x_i)=1.208711885122474e-01, x_1=6.523346604520710e-01,x_2=4.255391334704156e-01
第157次迭代：f(x_i)=1.201677075386359e-01, x_1=6.543576141191438e-01,x_2=4.255399343928351e-01
第158次迭代：f(x_i)=1.194712491288031e-01, x_1=6.543538705983528e-01,x_2=4.281741315662275e-01
第159次迭代：f(x_i)=1.187809140382268e-01, x_1=6.563510796140304e-01,x_2=4.281769428561950e-01
第160次迭代：f(x_i)=1.180963118566535e-01, x_1=6.563485614484765e-01,x_2=4.307909080078259e-01
第161次迭代：f(x_i)=1.174175153438298e-01, x_1=6.583228123061696e-01,x_2=4.307923606387760e-01
第162次迭代：f(x_i)=1.167446540147697e-01, x_1=6.583208332262750e-01,x_2=4.333831452154146e-01
第163次迭代：f(x_i)=1.160777409824292e-01, x_1=6.602732422314639e-01,x_2=4.333849612503488e-01
第164次迭代：f(x_i)=1.154171057489966e-01, x_1=6.602690721922457e-01,x_2=4.359503081804016e-01
第165次迭代：f(x_i)=1.147620094283509e-01, x_1=6.621978619697143e-01,x_2=4.359531179363935e-01
第166次迭代：f(x_i)=1.141123172048921e-01, x_1=6.621948556605249e-01,x_2=4.384979492676934e-01
第167次迭代：f(x_i)=1.134681698559494e-01, x_1=6.641034561925834e-01,x_2=4.385002567998996e-01
第168次迭代：f(x_i)=1.128302161582398e-01, x_1=6.640979164255056e-01,x_2=4.410180372567556e-01
第169次迭代：f(x_i)=1.121977739821851e-01, x_1=6.659848406524294e-01,x_2=4.410225485250605e-01
第170次迭代：f(x_i)=1.115710635623372e-01, x_1=6.659774654486136e-01,x_2=4.435159973911645e-01
第171次迭代：f(x_i)=1.109496155720020e-01, x_1=6.678425308457039e-01,x_2=4.435215961332687e-01
第172次迭代：f(x_i)=1.103332211953559e-01, x_1=6.678355670762516e-01,x_2=4.459940026017185e-01
第173次迭代：f(x_i)=1.097221500267467e-01, x_1=6.696809291556871e-01,x_2=4.459997721918085e-01
第174次迭代：f(x_i)=1.091164280226685e-01, x_1=6.696722617420539e-01,x_2=4.484493795748861e-01
第175次迭代：f(x_i)=1.085156605366672e-01, x_1=6.714968048562396e-01,x_2=4.484557939356352e-01
第176次迭代：f(x_i)=1.079197072758644e-01, x_1=6.714886718061918e-01,x_2=4.508849847233027e-01
第177次迭代：f(x_i)=1.073288420968125e-01, x_1=6.732931573414618e-01,x_2=4.508916373660201e-01
第178次迭代：f(x_i)=1.067424772902432e-01, x_1=6.732853427235977e-01,x_2=4.533031472248254e-01
第179次迭代：f(x_i)=1.061607339735015e-01, x_1=6.750707333571553e-01,x_2=4.533086375510939e-01
第180次迭代：f(x_i)=1.055835868534487e-01, x_1=6.750637328417387e-01,x_2=4.557014837414538e-01
第181次迭代：f(x_i)=1.050110861178731e-01, x_1=6.768301881691335e-01,x_2=4.557067013952896e-01
第182次迭代：f(x_i)=1.044430985088604e-01, x_1=6.768234398116312e-01,x_2=4.580802456778645e-01
第183次迭代：f(x_i)=1.038797517481284e-01, x_1=6.785725187446553e-01,x_2=4.580855294266572e-01
第184次迭代：f(x_i)=1.033214470798985e-01, x_1=6.785634862339236e-01,x_2=4.604362813976778e-01
第185次迭代：f(x_i)=1.027675111598810e-01, x_1=6.802937175477353e-01,x_2=4.604428407952617e-01
第186次迭代：f(x_i)=1.022180913513528e-01, x_1=6.802843840757945e-01,x_2=4.627740817289442e-01
第187次迭代：f(x_i)=1.016729781972208e-01, x_1=6.819972713666929e-01,x_2=4.627809560724812e-01
第188次迭代：f(x_i)=1.011325371837656e-01, x_1=6.819866085605387e-01,x_2=4.650915748288227e-01
第189次迭代：f(x_i)=1.005962025217346e-01, x_1=6.836817814410190e-01,x_2=4.650991686400655e-01
第190次迭代：f(x_i)=1.000642950400613e-01, x_1=6.836706280154675e-01,x_2=4.673902109754774e-01
第191次迭代：f(x_i)=9.953648965248654e-02, x_1=6.853484353770811e-01,x_2=4.673983890455870e-01
第192次迭代：f(x_i)=9.901288898794321e-02, x_1=6.853369086880997e-01,x_2=4.696699589658195e-01
第193次迭代：f(x_i)=9.849347287267035e-02, x_1=6.869973523423092e-01,x_2=4.696788463656207e-01
第194次迭代：f(x_i)=9.797786503532077e-02, x_1=6.869858824710482e-01,x_2=4.719330912359980e-01
第195次迭代：f(x_i)=9.746631739735920e-02, x_1=6.886313971524732e-01,x_2=4.719418346872997e-01
第196次迭代：f(x_i)=9.695936932727292e-02, x_1=6.886170627958309e-01,x_2=4.741745527256089e-01
第197次迭代：f(x_i)=9.645604913119887e-02, x_1=6.902448481079051e-01,x_2=4.741845196050379e-01
第198次迭代：f(x_i)=9.595638607974612e-02, x_1=6.902317758699150e-01,x_2=4.764016290164216e-01
第199次迭代：f(x_i)=9.546049321545415e-02, x_1=6.918441537105015e-01,x_2=4.764112196756746e-01
第200次迭代：f(x_i)=9.496848894119957e-02, x_1=6.918304812622766e-01,x_2=4.786102674383580e-01
第201次迭代：f(x_i)=9.448016909519459e-02, x_1=6.934265700297635e-01,x_2=4.786202703440003e-01
第202次迭代：f(x_i)=9.399530504821396e-02, x_1=6.934135179455695e-01,x_2=4.808038488897159e-01
第203次迭代：f(x_i)=9.351407595915606e-02, x_1=6.949946057681184e-01,x_2=4.808134479444279e-01
第204次迭代：f(x_i)=9.303645619727793e-02, x_1=6.949812789737466e-01,x_2=4.829799989810770e-01
第205次迭代：f(x_i)=9.256241252742262e-02, x_1=6.965476898139530e-01,x_2=4.829898306720715e-01
第206次迭代：f(x_i)=9.209213739875671e-02, x_1=6.965332040210551e-01,x_2=4.851382220381470e-01
第207次迭代：f(x_i)=9.162528451811459e-02, x_1=6.980834763215309e-01,x_2=4.851486806911434e-01
第208次迭代：f(x_i)=9.116140654873958e-02, x_1=6.980705794165487e-01,x_2=4.872847757837299e-01
第209次迭代：f(x_i)=9.070081717135998e-02, x_1=6.996076046605638e-01,x_2=4.872938906871568e-01
第210次迭代：f(x_i)=9.024392268342940e-02, x_1=6.995937998234698e-01,x_2=4.894120994663345e-01
第211次迭代：f(x_i)=8.979030499862689e-02, x_1=7.011163978398921e-01,x_2=4.894220143497378e-01
第212次迭代：f(x_i)=8.934025097325644e-02, x_1=7.011016777412481e-01,x_2=4.915226044401402e-01
第213次迭代：f(x_i)=8.889344904029156e-02, x_1=7.026094184776167e-01,x_2=4.915332813606615e-01
第214次迭代：f(x_i)=8.844971369295865e-02, x_1=7.025951096827007e-01,x_2=4.936186965682733e-01
第215次迭代：f(x_i)=8.800931985769392e-02, x_1=7.040896756585771e-01,x_2=4.936294538050639e-01
第216次迭代：f(x_i)=8.757231079100350e-02, x_1=7.040738892186185e-01,x_2=4.956981899785657e-01
第217次迭代：f(x_i)=8.713827705162372e-02, x_1=7.055545403735701e-01,x_2=4.957092381430901e-01
第218次迭代：f(x_i)=8.670740825653472e-02, x_1=7.055388626850810e-01,x_2=4.977634378007456e-01
第219次迭代：f(x_i)=8.627943411798213e-02, x_1=7.070052967132120e-01,x_2=4.977743321324337e-01
第220次迭代：f(x_i)=8.585412481815884e-02, x_1=7.069913276917590e-01,x_2=4.998160564447555e-01
第221次迭代：f(x_i)=8.543193829309635e-02, x_1=7.084458400265774e-01,x_2=4.998264260986831e-01
第222次迭代：f(x_i)=8.501307713546533e-02, x_1=7.084300674071009e-01,x_2=5.018504572706084e-01
第223次迭代：f(x_i)=8.459715337288119e-02, x_1=7.098716625895900e-01,x_2=5.018618074929869e-01
第224次迭代：f(x_i)=8.418451916705412e-02, x_1=7.098544231514800e-01,x_2=5.038681222556356e-01
第225次迭代：f(x_i)=8.377482212849582e-02, x_1=7.112828958083887e-01,x_2=5.038806736656186e-01
第226次迭代：f(x_i)=8.336814752464614e-02, x_1=7.112646928340783e-01,x_2=5.058710207976216e-01
第227次迭代：f(x_i)=8.296431611748892e-02, x_1=7.126810547635092e-01,x_2=5.058841630991894e-01
第228次迭代：f(x_i)=8.256369160049891e-02, x_1=7.126611573317529e-01,x_2=5.078574480608591e-01
第229次迭代：f(x_i)=8.216575951986232e-02, x_1=7.140639424047599e-01,x_2=5.078715497523790e-01
第230次迭代：f(x_i)=8.177030419591599e-02, x_1=7.140450594942321e-01,x_2=5.098327433183013e-01
第231次迭代：f(x_i)=8.137759548841104e-02, x_1=7.154358968966119e-01,x_2=5.098463569572889e-01
第232次迭代：f(x_i)=8.098743673722895e-02, x_1=7.154172154428411e-01,x_2=5.117943201803369e-01
第233次迭代：f(x_i)=8.059999400811600e-02, x_1=7.167962343423716e-01,x_2=5.118078188791094e-01
第234次迭代：f(x_i)=8.021514142521079e-02, x_1=7.167773495259985e-01,x_2=5.137429949831120e-01
第235次迭代：f(x_i)=7.983275378680975e-02, x_1=7.181445073593341e-01,x_2=5.137560966503355e-01
第236次迭代：f(x_i)=7.945287318559945e-02, x_1=7.181262612549408e-01,x_2=5.156791371285170e-01
第237次迭代：f(x_i)=7.907546702770342e-02, x_1=7.194821060970552e-01,x_2=5.156919051924738e-01
第238次迭代：f(x_i)=7.870069088851994e-02, x_1=7.194636922822352e-01,x_2=5.176013698350835e-01
第239次迭代：f(x_i)=7.832836959424191e-02, x_1=7.208086115724340e-01,x_2=5.176143156258676e-01
第240次迭代：f(x_i)=7.795892009963572e-02, x_1=7.207889050746792e-01,x_2=5.195075647160440e-01
第241次迭代：f(x_i)=7.759196955522529e-02, x_1=7.221216418693998e-01,x_2=5.195216573025452e-01
第242次迭代：f(x_i)=7.722734579523528e-02, x_1=7.221020643858235e-01,x_2=5.214025510341191e-01
第243次迭代：f(x_i)=7.686515631899210e-02, x_1=7.234245478875859e-01,x_2=5.214164846567122e-01
第244次迭代：f(x_i)=7.650571556067549e-02, x_1=7.234035067506549e-01,x_2=5.232817332813342e-01
第245次迭代：f(x_i)=7.614863244162037e-02, x_1=7.247142297241217e-01,x_2=5.232966167388281e-01
第246次迭代：f(x_i)=7.579380583912308e-02, x_1=7.246934235358555e-01,x_2=5.251497693656972e-01
第247次迭代：f(x_i)=7.544132773038469e-02, x_1=7.259930522530509e-01,x_2=5.251645431580313e-01
第248次迭代：f(x_i)=7.509088452446513e-02, x_1=7.259730003712177e-01,x_2=5.270071326573414e-01
第249次迭代：f(x_i)=7.474273823402261e-02, x_1=7.272633313687035e-01,x_2=5.270213241102363e-01
第250次迭代：f(x_i)=7.439730720303621e-02, x_1=7.272415009575602e-01,x_2=5.288472760811277e-01
第251次迭代：f(x_i)=7.405423123809378e-02, x_1=7.285209684920123e-01,x_2=5.288629965171755e-01
第252次迭代：f(x_i)=7.371362679341315e-02, x_1=7.284976787790338e-01,x_2=5.306747556660217e-01
第253次迭代：f(x_i)=7.337514286558840e-02, x_1=7.297663673980069e-01,x_2=5.306909930726964e-01
